date,year,month,airline,published_airline,iata_code,geo_summary,geo_region,price_category,terminal,boarding_area,passenger_count
1999-09-01,1999,9,Cathay Pacific,Cathay Pacific,CX,International,Asia,Other,Terminal 2,D,5287
1999-09-01,1999,9,Champion Air,Champion Air,MG,Domestic,US,Other,Terminal 1,A,123
1999-09-01,1999,9,China Airlines,China Airlines,CI,International,Asia,Other,Terminal 2,D,5357
1999-09-01,1999,9,China Eastern,"China Eastern Airlines, Inc",,International,Asia,Other,Terminal 2,D,1912
1999-09-01,1999,9,Delta Air Lines,Delta Air Lines,DL,Domestic,US,Other,Terminal 1,C,95607
1999-09-01,1999,9,EVA Airways,EVA Airways,BR,International,Asia,Other,Terminal 2,D,8981
1999-09-01,1999,9,Finnair,Finnair,AY,International,Europe,Other,Terminal 2,D,1026
1999-09-01,1999,9,Frontier Airlines,Frontier Airlines,F9,Domestic,US,Low Fare,Terminal 1,B,7107
1999-09-01,1999,9,Hawaiian Airlines,Hawaiian Airlines,HA,Domestic,US,Other,Terminal 1,C,7621
1999-09-01,1999,9,Japan Airlines,Japan Airlines,JL,International,Asia,Other,Terminal 2,D,8161
1999-09-01,1999,9,KLM Royal Dutch Airlines,KLM Royal Dutch Airlines,KL,International,Europe,Other,Terminal 2,D,8653
1999-09-01,1999,9,Korean Air Lines,Korean Air Lines,KE,International,Asia,Other,Terminal 2,D,7107
1999-09-01,1999,9,Lufthansa German Airlines,Lufthansa German Airlines,LH,International,Europe,Other,Terminal 2,D,22763
1999-09-01,1999,9,Mexicana Airlines,Mexicana Airlines,MX,International,Mexico,Other,Terminal 2,D,10407
1999-09-01,1999,9,Miami Air International,Miami Air International,GL,Domestic,US,Other,Terminal 2,D,202
1999-09-01,1999,9,Midwest Airlines,Midwest Airlines,YX,Domestic,US,Other,Terminal 1,B,2647
1999-09-01,1999,9,National Airlines,National Airlines,N7,Domestic,US,Other,Terminal 1,B,9907
1999-09-01,1999,9,Northwest Airlines (became Delta),Northwest Airlines (became Delta),NW,Domestic,US,Other,Terminal 1,C,60775
1999-09-01,1999,9,Northwest Airlines (became Delta),Northwest Airlines (became Delta),NW,International,Asia,Other,Terminal 2,D,8591
1999-09-01,1999,9,Philippine Airlines,Philippine Airlines,PR,International,Asia,Other,Terminal 2,D,5423
1999-09-01,1999,9,Ryan International Airlines,Ryan International Airlines,RD,Domestic,US,Other,Terminal 2,D,9538
1999-09-01,1999,9,Ryan International Airlines,Ryan International Airlines,RD,International,Europe,Other,Terminal 2,D,4766
1999-09-01,1999,9,Singapore Airlines,Singapore Airlines,SQ,International,Asia,Other,Terminal 2,D,14196
1999-09-01,1999,9,SkyWest Airlines,Delta Air Lines,DL,Domestic,US,Other,Terminal 1,C,2336
1999-09-01,1999,9,SkyWest Airlines,United Airlines - Pre 07/01/2013,UA,Domestic,US,Other,Terminal 3,F,45405
1999-09-01,1999,9,Sobelair Airlines,Sobelair Airlines,,International,Europe,Other,Terminal 2,D,575
1999-09-01,1999,9,Southwest Airlines,Southwest Airlines,WN,Domestic,US,Low Fare,Terminal 1,A,32118
1999-09-01,1999,9,Star Air,Star Air,S6,Domestic,US,Other,Terminal 1,B,115
1999-09-01,1999,9,Sun Country Airlines,Sun Country Airlines,SY,Domestic,US,Low Fare,Terminal 3,E,2377
1999-09-01,1999,9,Swissair,Swissair,SR,International,Europe,Other,Terminal 2,D,5008
1999-09-01,1999,9,"TACA International Airlines, S.A.","TACA International Airlines, S.A.",TA,International,Central America,Other,Terminal 2,D,2267
1999-09-01,1999,9,TWA,TWA,TW,Domestic,US,Other,Terminal 1,B,28943
1999-09-01,1999,9,Tower Air,Tower Air,FF,Domestic,US,Other,Terminal 3,E,6994
1999-09-01,1999,9,Trans States Airlines,US Airways,US,Domestic,US,Other,Terminal 1,A,2893
1999-09-01,1999,9,US Airways,US Airways,US,Domestic,US,Other,Terminal 1,A,41053
1999-09-01,1999,9,US Airways,US Airways,US,Domestic,US,Low Fare,Terminal 1,B,29236
1999-09-01,1999,9,United Airlines,United Airlines,UA,Domestic,US,Other,Terminal 1,B,61077
1999-09-01,1999,9,United Airlines,United Airlines - Pre 07/01/2013,UA,Domestic,US,Other,Terminal 3,F,733383
1999-09-01,1999,9,United Airlines,United Airlines - Pre 07/01/2013,UA,International,Asia,Other,International,G,46391
1999-09-01,1999,9,United Airlines,United Airlines - Pre 07/01/2013,UA,International,Australia / Oceania,Other,International,G,7198
1999-09-01,1999,9,United Airlines,United Airlines - Pre 07/01/2013,UA,International,Canada,Other,International,G,14752
1999-09-01,1999,9,United Airlines,United Airlines - Pre 07/01/2013,UA,International,Europe,Other,International,G,16644
1999-09-01,1999,9,United Airlines,United Airlines - Pre 07/01/2013,UA,International,Mexico,Other,International,G,3536
1999-09-01,1999,9,Virgin Atlantic,Virgin Atlantic,VS,International,Europe,Other,Terminal 2,D,11699
1999-10-01,1999,10,ATA Airlines,ATA Airlines,TZ,Domestic,US,Low Fare,Terminal 1,B,19696
1999-10-01,1999,10,Aeroflot Russian International Airlines,Aeroflot Russian International Airlines,,International,Europe,Other,Terminal 2,D,516
1999-10-01,1999,10,Air Canada,Air Canada,AC,International,Canada,Other,Terminal 1,B,19808
1999-10-01,1999,10,Air China,Air China,CA,International,Asia,Other,Terminal 2,D,4437
1999-10-01,1999,10,Air France,Air France,AF,International,Europe,Other,Terminal 2,D,8074
1999-10-01,1999,10,Alaska Airlines,Alaska Airlines,AS,Domestic,US,Other,Terminal 2,D,37117
1999-10-01,1999,10,Alaska Airlines,Alaska Airlines,AS,International,Canada,Other,Terminal 2,D,5430
1999-10-01,1999,10,Alaska Airlines,Alaska Airlines,AS,International,Mexico,Other,Terminal 2,D,7315
1999-10-01,1999,10,Alitalia Airlines,Alitalia Airlines,AZ,International,Europe,Other,Terminal 2,D,4992
1999-10-01,1999,10,ANA,"All Nippon Company Airways, Ltd.",NH,International,Asia,Other,Terminal 2,D,4028
1999-10-01,1999,10,American Airlines,American Airlines,AA,Domestic,US,Other,Terminal 3,E,133788
1999-10-01,1999,10,Asiana Airlines,Asiana Airlines,OZ,International,Asia,Other,Terminal 2,D,3567
1999-10-01,1999,10,British Airways,British Airways,BA,International,Europe,Other,Terminal 2,D,19604
1999-10-01,1999,10,Canadian Airlines,Canadian Airlines,CP,International,Canada,Other,Terminal 3,E,4272
1999-10-01,1999,10,Cathay Pacific,Cathay Pacific,CX,International,Asia,Other,Terminal 2,D,6866
1999-10-01,1999,10,China Airlines,China Airlines,CI,International,Asia,Other,Terminal 2,D,5609
1999-10-01,1999,10,China Eastern,"China Eastern Airlines, Inc",,International,Asia,Other,Terminal 2,D,1393
1999-10-01,1999,10,Delta Air Lines,Delta Air Lines,DL,Domestic,US,Other,Terminal 1,C,98920
1999-10-01,1999,10,EVA Airways,EVA Airways,BR,International,Asia,Other,Terminal 2,D,9069
1999-10-01,1999,10,Frontier Airlines,Frontier Airlines,F9,Domestic,US,Low Fare,Terminal 1,B,6513
1999-10-01,1999,10,Hawaiian Airlines,Hawaiian Airlines,HA,Domestic,US,Other,Terminal 1,C,9130
1999-10-01,1999,10,Japan Airlines,Japan Airlines,JL,International,Asia,Other,Terminal 2,D,8704
1999-10-01,1999,10,KLM Royal Dutch Airlines,KLM Royal Dutch Airlines,KL,International,Europe,Other,Terminal 2,D,8657
1999-10-01,1999,10,Korean Air Lines,Korean Air Lines,KE,International,Asia,Other,Terminal 2,D,6812
